Utgiftsområde,Anslag,Namn,Regeringen,C,KD,L,M,SD,V
14,1:13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",4771685000,0.0,0.0,650000.0,1628000000.0,-2400000000.0,0.0
22,1:13,Trafikanalys,69709000,-98000.0,0.0,0.0,0.0,0.0,0.0
4,1:14,Bidrag till lokalt brottsförebyggande arbete,70157000,0.0,0.0,500000.0,0.0,0.0,0.0
14,1:14,Etableringsersättning till vissa nyanlända invandrare,1094895000,0.0,0.0,101000.0,45000000.0,-550000000.0,350000000.0
24,1:14,Konkurrensforskning,10804000,0.0,0.0,0.0,0.0,0.0,0.0
23,1:14,Livsmedelsverket,344398000,0.0,0.0,0.0,5000000.0,0.0,0.0
20,1:14,Skydd av värdefull natur,3725500000,-1705000000.0,0.0,0.0,-2005000000.0,-2005000000.0,0.0
16,1:14,Särskilda insatser inom skolområdet,203418000,0.0,0.0,60000.0,0.0,0.0,0.0
22,1:14,Trängselskatt i Göteborg,1025200000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:14,Vissa garanti- och medlemsavgifter,290116000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:15,Havs- och vattenmyndigheten,307151000,-7528000.0,0.0,0.0,0.0,-60000000.0,0.0
23,1:15,Konkurrenskraftig livsmedelssektor,204160000,0.0,0.0,0.0,70000000.0,0.0,0.0
14,1:15,Omställnings- och kompetensstöd genom den offentliga omställningsorganisationen,75000000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:15,Sjöfartsstöd,1550000000,0.0,0.0,0.0,0.0,500000000.0,0.0
2,1:15,Statens servicecenter,882068000,-1104000.0,20000000.0,-1000.0,0.0,0.0,0.0
16,1:15,Statligt stöd för stärkt likvärdighet och kunskapsutveckling,6553500000,-323500000.0,0.0,0.0,0.0,-6553500000.0,0.0
4,1:15,Säkerhets- och integritetsskyddsnämnden,24804000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:15,Upprustning och drift av Göta kanal,122510000,0.0,20000000.0,0.0,0.0,0.0,0.0
23,1:16,Bidrag till vissa internationella organisationer m.m.,46913000,0.0,0.0,0.0,0.0,0.0,0.0
16,1:16,Bidrag till vissa studier,17525000,0.0,0.0,0.0,0.0,0.0,0.0
4,1:16,Domarnämnden,9823000,0.0,0.0,0.0,0.0,0.0,0.0
2,1:16,Finansmarknadsforskning,49933000,-1000.0,0.0,0.0,0.0,0.0,0.0
22,1:16,Internationell tågtrafik,45000000,0.0,0.0,0.0,0.0,-45000000.0,0.0
20,1:16,Klimatinvesteringar,2755000000,0.0,0.0,1800000.0,-800000000.0,-2755000000.0,0.0
24,1:16,Omstrukturering och genomlysning av statligt ägda företag,18850000,0.0,0.0,0.0,0.0,0.0,0.0
4,1:17,"Från EU-budgeten finansierade insatser avseende EU:s inre säkerhet, gränsförvaltning och visering",226900000,0.0,0.0,0.0,0.0,0.0,0.0
22,1:17,Infrastruktur för flygtrafiktjänst,299000000,0.0,0.0,0.0,0.0,0.0,0.0
24,1:17,Kapitalinsatser i statligt ägda företag,1000000,0.0,0.0,0.0,0.0,0.0,0.0
20,1:17,Klimatpremier,1600500000,200000000.0,0.0,-900000.0,0.0,-1331000000.0,0.0
16,1:17,Statligt stöd till vuxenutbildning,5417422000,60000000.0,0.0,160000.0,0.0,0.0,300000000.0
