Utgiftsområde,Underområde,Anslag,Namn,Summa
13,2,2,Åtgärder mot diskriminering och rasism m.m.,100919000
13,3,,Jämställdhet,744482000
13,3,1,Särskilda jämställdhetsåtgärder,640039000
13,3,2,Jämställdhetsmyndigheten,76280000
13,3,3,Bidrag för kvinnors organisering,28163000
13,4,,Segregation,518416000
13,4,1,Åtgärder mot segregation,500000000
13,4,2,Delegationen mot segregation,18416000
14,,,Arbetsmarknad och arbetsliv,94025726000
14,1,,Arbetsmarknad,93010838000
14,1,1,Arbetsförmedlingens förvaltningskostnader,7810253000
14,1,2,Bidrag till arbetslöshetsersättning och aktivitetsstöd,42743597000
14,1,3,Kostnader för arbetsmarknadspolitiska program och insatser,11423145000
14,1,4,Lönebidrag och Samhall m.m.,20684009000
14,1,5,Rådet för Europeiska socialfonden i Sverige,136864000
14,1,6,Europeiska socialfonden m.m. för perioden 2014–2020,2545600000
14,1,7,Europeiska socialfonden plus m.m. för perioden 2021–2027,225000000
14,1,8,Institutet för arbetsmarknads- och utbildningspolitisk utvärdering,43099000
14,1,9,Inspektionen för arbetslöshetsförsäkringen,80220000
14,1,10,Bidrag till administration av grundbeloppet,59168000
14,1,11,Bidrag till Stiftelsen Utbildning Nordkalotten,8303000
14,1,12,Bidrag till lönegarantiersättning,1310000000
14,1,13,"Nystartsjobb, etableringsjobb och stöd för yrkesintroduktionsanställningar",4771685000
14,1,14,Etableringsersättning till vissa nyanlända invandrare,1094895000
14,1,15,Omställnings- och kompetensstöd genom den offentliga omställningsorganisationen,75000000
14,2,,Arbetsliv,1014888000
14,2,1,Arbetsmiljöverket,737550000
14,2,2,Arbetsdomstolen,35448000
14,2,3,Internationella arbetsorganisationen (ILO),33722000
14,2,4,Medlingsinstitutet,56720000
14,2,5,Myndigheten för arbetsmiljökunskap,39448000
14,2,6,Regional skyddsombudsverksamhet,112000000
15,,,Studiestöd,27801485000
15,1,1,Studiehjälp,4439614000
15,1,2,Studiemedel,19741430000
15,1,3,Avsättning för kreditförluster,2000641000
15,1,4,Statens utgifter för studiemedelsräntor,18845000
15,1,5,Bidrag till kostnader vid viss gymnasieutbildning och vid viss föräldrautbildning i teckenspråk,62150000
15,1,6,Bidrag till vissa studiesociala ändamål,31000000
15,1,7,Studiestartsstöd,400000000
15,1,8,Centrala studiestödsnämnden,1090481000
15,1,9,Överklagandenämnden för studiestöd,17324000
16,,,Utbildning och universitetsforskning,94529445000
16,1,,"Barn-, ungdoms- och vuxenutbildning",33339734000
16,1,1,Statens skolverk,1362338000
16,1,2,Statens skolinspektion,481927000
16,1,3,Specialpedagogiska skolmyndigheten,783592000
16,1,4,Sameskolstyrelsen,58434000
16,1,5,Utveckling av skolväsendet och annan pedagogisk verksamhet,4253693000
16,1,6,Statligt stöd till särskild utbildning i gymnasieskolan,259837000
16,1,7,"Maxtaxa i förskola, fritidshem och annan pedagogisk verksamhet, m.m.",3903000000
16,1,8,"Bidrag till viss verksamhet inom skolväsendet, m.m.",200720000
16,1,9,Bidrag till svensk undervisning i utlandet,112082000
16,1,10,Fortbildning av lärare och förskolepersonal,840526000
16,1,11,Skolforskningsinstitutet,25450000
16,1,12,Praktiknära skolforskning,32043000
16,1,13,Bidrag till lärarlöner,4875000000
16,1,14,Särskilda insatser inom skolområdet,203418000
16,1,15,Statligt stöd för stärkt likvärdighet och kunskapsutveckling,6553500000
16,1,16,Bidrag till vissa studier,17525000
16,1,17,Statligt stöd till vuxenutbildning,5417422000
16,1,18,Myndigheten för yrkeshögskolan,143991000
16,1,19,Statligt stöd till yrkeshögskoleutbildning,3815236000
16,2,,Universitet och högskolor,51327228000
16,2,1,Universitetskanslersämbetet,171751000
16,2,2,Universitets- och högskolerådet,260147000
16,2,3,Uppsala universitet: Utbildning på grundnivå och avancerad nivå,2038600000
16,2,4,Uppsala universitet: Forskning och utbildning på forskarnivå,2368441000
16,2,5,Lunds universitet: Utbildning på grundnivå och avancerad nivå,2355647000
16,2,6,Lunds universitet: Forskning och utbildning på forskarnivå,2432733000
16,2,7,Göteborgs universitet: Utbildning på grundnivå och avancerad nivå,2386826000
16,2,8,Göteborgs universitet: Forskning och utbildning på forskarnivå,1743620000
16,2,9,Stockholms universitet: Utbildning på grundnivå och avancerad nivå,1969944000
16,2,10,Stockholms universitet: Forskning och utbildning på forskarnivå,1779111000
16,2,11,Umeå universitet: Utbildning på grundnivå och avancerad nivå,1590921000
16,2,12,Umeå universitet: Forskning och utbildning på forskarnivå,1231968000
16,2,13,Linköpings universitet: Utbildning på grundnivå och avancerad nivå,1748520000
16,2,14,Linköpings universitet: Forskning och utbildning på forskarnivå,1067162000
16,2,15,Karolinska institutet: Utbildning på grundnivå och avancerad nivå,804289000
16,2,16,Karolinska institutet: Forskning och utbildning på forskarnivå,1749545000
16,2,17,Kungl. Tekniska högskolan: Utbildning på grundnivå och avancerad nivå,1359892000
16,2,18,Kungl. Tekniska högskolan: Forskning och utbildning på forskarnivå,1843660000
16,2,19,Luleå tekniska universitet: Utbildning på grundnivå och avancerad nivå,763906000
16,2,20,Luleå tekniska universitet: Forskning och utbildning på forskarnivå,433513000
16,2,21,Karlstads universitet: Utbildning på grundnivå och avancerad nivå,768995000
16,2,22,Karlstads universitet: Forskning och utbildning på forskarnivå,285401000
16,2,23,Linnéuniversitetet: Utbildning på grundnivå och avancerad nivå,1202655000
16,2,24,Linnéuniversitetet: Forskning och utbildning på forskarnivå,390389000
16,2,25,Örebro universitet: Utbildning på grundnivå och avancerad nivå,897172000
16,2,26,Örebro universitet: Forskning och utbildning på forskarnivå,322304000
16,2,27,Mittuniversitetet: Utbildning på grundnivå och avancerad nivå,636012000
16,2,28,Mittuniversitetet: Forskning och utbildning på forskarnivå,287390000
16,2,29,Malmö universitet: Utbildning på grundnivå och avancerad nivå,1071023000
16,2,30,Malmö universitet: Forskning och utbildning på forskarnivå,300160000
16,2,31,Mälardalens universitet: Utbildning på grundnivå och avancerad nivå,693913000
16,2,32,Mälardalens universitet: Forskning och utbildning på forskarnivå,282626000
16,2,33,Blekinge tekniska högskola: Utbildning på grundnivå och avancerad nivå,289707000
16,2,34,Blekinge tekniska högskola: Forskning och utbildning på forskarnivå,109825000
16,2,35,Stockholms konstnärliga högskola: Utbildning på grundnivå och avancerad nivå,216661000
16,2,36,Stockholms konstnärliga högskola: Konstnärlig forskning och utbildning på forskarnivå,55639000
16,2,37,Gymnastik- och idrottshögskolan: Utbildning på grundnivå och avancerad nivå,123864000
16,2,38,Gymnastik- och idrottshögskolan: Forskning och utbildning på forskarnivå,34895000
16,2,39,Högskolan i Borås: Utbildning på grundnivå och avancerad nivå,571955000
16,2,40,Högskolan i Borås: Forskning och utbildning på forskarnivå,106082000
16,2,41,Högskolan Dalarna: Utbildning på grundnivå och avancerad nivå,487005000
16,2,42,Högskolan Dalarna: Forskning och utbildning på forskarnivå,109431000
16,2,43,Högskolan i Gävle: Utbildning på grundnivå och avancerad nivå,526317000
16,2,44,Högskolan i Gävle: Forskning och utbildning på forskarnivå,116196000
16,2,45,Högskolan i Halmstad: Utbildning på grundnivå och avancerad nivå,454910000
16,2,46,Högskolan i Halmstad: Forskning och utbildning på forskarnivå,103157000
16,2,47,Högskolan Kristianstad: Utbildning på grundnivå och avancerad nivå,456948000
16,2,48,Högskolan Kristianstad: Forskning och utbildning på forskarnivå,99395000
16,2,49,Högskolan i Skövde: Utbildning på grundnivå och avancerad nivå,357206000
16,2,50,Högskolan i Skövde: Forskning och utbildning på forskarnivå,66586000
16,2,51,Högskolan Väst: Utbildning på grundnivå och avancerad nivå,424527000
16,2,52,Högskolan Väst: Forskning och utbildning på forskarnivå,93697000
16,2,53,Konstfack: Utbildning på grundnivå och avancerad nivå,181683000
16,2,54,Konstfack: Konstnärlig forskning och utbildning på forskarnivå,22222000
16,2,55,Kungl. Konsthögskolan: Utbildning på grundnivå och avancerad nivå,70193000
16,2,56,Kungl. Konsthögskolan: Konstnärlig forskning och utbildning på forskarnivå,13037000
16,2,57,Kungl. Musikhögskolan i Stockholm: Utbildning på grundnivå och avancerad nivå,146193000
16,2,58,Kungl. Musikhögskolan i Stockholm: Konstnärlig forskning och utbildning på forskarnivå,22357000
16,2,59,Södertörns högskola: Utbildning på grundnivå och avancerad nivå,479407000
16,2,60,Södertörns högskola: Forskning och utbildning på forskarnivå,125467000
16,2,61,Försvarshögskolan: Utbildning på grundnivå och avancerad nivå,39626000
16,2,62,Försvarshögskolan: Forskning och utbildning på forskarnivå,24275000
16,2,63,Enskilda utbildningsanordnare på högskoleområdet,3837353000
16,2,64,Särskilda utgifter inom universitet och högskolor,950902000
16,2,65,Särskilda medel till universitet och högskolor,534740000
16,2,66,Ersättningar för klinisk utbildning och forskning,2769954000
16,2,67,Särskilda bidrag inom högskoleområdet,67580000
16,3,,Forskning,9679685000
16,3,1,Vetenskapsrådet: Forskning och forskningsinformation,7028846000
16,3,2,Vetenskapsrådet: Avgifter till internationella organisationer,420061000
16,3,3,Vetenskapsrådet: Förvaltning,197453000
16,3,4,Rymdforskning och rymdverksamhet,1227356000
16,3,5,Rymdstyrelsen: Förvaltning,46152000
16,3,6,Institutet för rymdfysik,62845000
16,3,7,Kungl. Biblioteket,422655000
16,3,8,Polarforskningssekretariatet,66363000
16,3,9,Sunet,49183000
16,3,10,Överklagandenämnden för etikprövning,5409000
16,3,11,Etikprövningsmyndigheten,51207000
16,3,12,Nämnden för prövning av oredlighet i forskning,8350000
16,3,13,Särskilda utgifter för forskningsändamål,88995000
16,3,14,Gentekniknämnden,4810000
16,4,,Vissa gemensamma ändamål,182798000
16,4,1,Internationella program,81589000
16,4,2,Avgift till Unesco och ICCROM,32186000
16,4,3,Kostnader för Svenska Unescorådet,10980000
16,4,4,Utvecklingsarbete inom områdena utbildning och forskning,58043000
17,,,"Kultur, medier, trossamfund och fritid",18454593000
17,1,,Kulturområdesövergripande verksamhet,3479424000
17,1,1,Statens kulturråd,73714000
17,1,2,"Bidrag till allmän kulturverksamhet, utveckling samt internationellt kulturutbyte och samarbete",1450582000
17,1,3,Skapande skola,199964000
17,1,4,Forsknings- och utvecklingsinsatser inom kulturområdet,45153000
17,1,5,Stöd till icke-statliga kulturlokaler,9852000
17,1,6,Bidrag till regional kulturverksamhet,1681723000
17,1,7,Myndigheten för kulturanalys,18436000
17,2,,"Teater, dans och musik",1521099000
17,2,1,Bidrag till vissa scenkonstinstitutioner,1122130000
17,2,2,"Bidrag till vissa teater-, dans- och musikändamål",301614000
17,2,3,Statens musikverk,97355000
17,3,,"Litteraturen, läsandet och språket",406460000
17,3,1,Bidrag till litteratur och kulturtidskrifter,205735000
17,3,2,Myndigheten för tillgängliga medier,128474000
17,3,3,Institutet för språk och folkminnen,72251000
17,4,,"Bildkonst, arkitektur, form och design",126899000
17,4,1,Statens konstråd,11078000
17,4,2,Konstnärlig gestaltning av den gemensamma miljön,42947000
17,4,3,Nämnden för hemslöjdsfrågor,11805000
17,4,4,Bidrag till bild- och formområdet,61069000
17,5,,Konstnärernas villkor,623274000
17,5,1,Konstnärsnämnden,23444000
17,5,2,Ersättningar och bidrag till konstnärer,599830000
17,6,,Arkiv,467946000
17,6,1,Riksarkivet,467946000
17,7,,Kulturmiljö,1030426000
17,7,1,Riksantikvarieämbetet,286384000
17,7,2,Bidrag till kulturmiljövård,276042000
17,7,3,Kyrkoantikvarisk ersättning,460000000
17,7,4,Bidrag till arbetslivsmuseer,8000000
17,8,,Museer och utställningar,1869801000
17,8,1,Centrala museer: Myndigheter,1451114000
17,8,2,Centrala museer: Stiftelser,288714000
17,8,3,Bidrag till vissa museer,79718000
17,8,4,Forum för levande historia,50175000
17,8,5,Statliga utställningsgarantier och inköp av vissa kulturföremål,80000
17,9,,Trossamfund,98246000
17,9,1,Myndigheten för stöd till trossamfund,16327000
17,9,2,Stöd till trossamfund,81919000
17,10,,Film,608444000
17,10,1,Filmstöd,608444000
17,11,,Medier,85675000
17,11,1,Sändningar av TV Finland,9721000
17,11,2,Forskning och dokumentation om medieutvecklingen,3471000
17,11,3,Avgift till europeiska audiovisuella observatoriet,483000
17,11,4,Statens medieråd,24144000
17,11,5,Stöd till taltidningar,47856000
17,12,,Ungdomspolitik,351733000
17,12,1,Myndigheten för ungdoms- och civilsamhällesfrågor,59053000
17,12,2,Bidrag till nationell och internationell ungdomsverksamhet,290680000
17,12,3,Särskilda insatser inom ungdomspolitiken,2000000
17,13,,Politik för det civila samhället,2555518000
17,13,1,Stöd till idrotten,2366811000
17,13,2,Bidrag till allmänna samlingslokaler,52164000
17,13,3,Stöd till friluftsorganisationer,97785000
17,13,4,Bidrag till riksdagspartiers kvinnoorganisationer,15000000
17,13,5,Insatser för den ideella sektorn,23758000
17,14,,Folkbildning,5152272000
17,14,1,Bidrag till folkbildningen,4829783000
17,14,2,Bidrag till tolkutbildning,60331000
17,14,3,Särskilda insatser inom folkbildningen,60000000
17,14,4,Särskilt utbildningsstöd,202158000
17,15,,Tillsyn över spelmarknaden,77376000
17,15,1,Spelinspektionen,77376000
18,,,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",7025334000
18,1,,"Samhällsplanering, bostadsmarknad, byggande och lantmäteriverksamhet",6753094000
18,1,1,Bostadspolitisk utveckling,20600000
18,1,2,Omstrukturering av kommunala bostadsföretag,12500000
18,1,3,Stöd för att underlätta för enskilda att ordna bostad,43000000
18,1,4,Boverket,316330000
18,1,5,Statens geotekniska institut,56847000
18,1,6,Lantmäteriet,688817000
18,1,7,Energieffektivisering av flerbostadshus,1565000000
18,1,8,Investeringsstöd för anordnande av hyresbostäder och bostäder för studerande,4050000000
18,2,,Konsumentpolitik,272240000
18,2,1,Konsumentverket,169873000
18,2,2,Allmänna reklamationsnämnden,53792000
18,2,3,Fastighetsmäklarinspektionen,30642000
18,2,4,Åtgärder på konsumentområdet,13559000
18,2,5,Bidrag till miljömärkning av produkter,4374000
19,,,Regional utveckling,5241801000
19,1,1,Regionala utvecklingsåtgärder,2560937000
19,1,2,Transportbidrag,430864000
19,1,3,Europeiska regionala utvecklingsfonden perioden 2014–2020,1600000000
19,1,4,Europeiska regionala utvecklingsfonden och Fonden för en rättvis omställning perioden 2021–2027,650000000
20,,,Allmän miljö- och naturvård,21851580000
20,1,,Miljöpolitik,20618509000
20,1,1,Naturvårdsverket,645033000
20,1,2,Miljöövervakning m.m.,513714000
20,1,3,Åtgärder för värdefull natur,2064035000
20,1,4,Sanering och återställning av förorenade områden,1167318000
20,1,5,Miljöforskning,96825000
20,1,6,Kemikalieinspektionen,298094000
20,1,7,Avgifter till Internationella organisationer,282131000
20,1,8,Klimatbonus,3510000000
20,1,9,Sveriges meteorologiska och hydrologiska institut,298143000
20,1,10,Klimatanpassning,140000000
20,1,11,Åtgärder för havs- och vattenmiljö,1579565000
20,1,12,Insatser för internationella klimatinvesteringar,154100000
20,1,13,Internationellt miljösamarbete,47400000
20,1,14,Skydd av värdefull natur,3725500000
20,1,15,Havs- och vattenmyndigheten,307151000
20,1,16,Klimatinvesteringar,2755000000
20,1,17,Klimatpremier,1600500000
20,1,18,Stöd för gröna och trygga samhällen,200000000
20,1,19,Industriklivet,909000000
20,1,20,Åtgärder för ras- och skredsäkring längs Göta älv,215000000
20,1,21,Driftstöd för bio-CCS,10000000
20,1,22,Kompetenslyft för klimatomställningen,100000000
20,2,,Miljöforskning,1233071000
20,2,1,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",128163000
20,2,2,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning",1104908000
21,,,Energi,4454924000
21,1,1,Statens energimyndighet,419387000
21,1,2,Insatser för energieffektivisering,118000000
21,1,3,Insatser för förnybar elproduktion,25000000
21,1,4,Energiforskning,1432723000
21,1,5,Infrastruktur för elektrifierade transporter,600000000
21,1,6,Energimarknadsinspektionen,184294000
21,1,7,Energiteknik,1077600000
21,1,8,Elberedskap,361000000
21,1,9,Avgifter till internationella organisationer,25328000
21,1,10,Energi- och klimatomställning på lokal och regional nivå m.m.,140000000
21,1,11,Elsäkerhetsverket,71592000
22,,,Kommunikationer,76964552000
22,1,,Transportpolitik,74693861000
22,1,1,Utveckling av statens transportinfrastruktur,31929785000
22,1,2,Vidmakthållande av statens transportinfrastruktur,30402263000
22,1,3,Trafikverket,1426106000
22,1,4,Ersättning för sjöräddning och fritidsbåtsändamål,369108000
22,1,5,Ersättning för viss kanal- och slussinfrastruktur,146184000
22,1,6,Ersättning avseende icke statliga flygplatser,128813000
22,1,7,Trafikavtal,1038000000
22,1,8,Viss internationell verksamhet,30557000
22,1,9,Statens väg- och transportforskningsinstitut,82037000
22,1,10,Från EU-budgeten finansierade stöd till Transeuropeiska nätverk,690000000
22,1,11,Trängselskatt i Stockholm,1943400000
22,1,12,Transportstyrelsen,2367233000
22,1,13,Trafikanalys,69709000
22,1,14,Trängselskatt i Göteborg,1025200000
22,1,15,Sjöfartsstöd,1550000000
22,1,16,Internationell tågtrafik,45000000
22,1,17,Infrastruktur för flygtrafiktjänst,299000000
22,1,18,Bidrag för upprätthållande av kollektivtrafik,1000000000
22,1,19,Lån till körkort,151466000
22,2,,Politiken för informationssamhället,2270691000
22,2,1,Post- och telestyrelsen,87679000
22,2,2,Ersättning för särskilda tjänster för personer med funktionsnedsättning,136278000
22,2,3,Grundläggande betaltjänster,28037000
22,2,4,Informationsteknik och telekommunikation,104844000
22,2,5,Driftsäker och tillgänglig elektronisk kommunikation,1561014000
22,2,6,Myndigheten för digital förvaltning,156845000
