Anslag,2022,2023,2024,Utgiftsområde,Namn
1:3,-25000000,-25000000,-25000000,21,Insatser för förnybar elproduktion
1:1,-20000000,-20000000,-20000000,21,Statens energimyndighet
1:4,50000000,50000000,50000000,21,Energiforskning
1:9,1000000,1000000,1000000,21,Avgifter till internationella organisationer
99:1,150000000,150000000,150000000,21,Forskningsreaktor]
99:4,110000000,0,0,22,Inköp av två brandflygplan
99:3,50000000,50000000,50000000,22,Bidrag till underhåll av enskilda vägar
1:1,500000000,500000000,500000000,22,Utveckling av statens transportinfrastruktur
99:2,250000000,250000000,250000000,22,Näringslivspott till stöd för väganslutningar till industrier
1:15,500000000,500000000,500000000,22,Sjöfartsstöd
1:16,-45000000,-95000000,-95000000,22,Internationell tågtrafik
2:5,50000000,50000000,30000000,22,Driftsäker och tillgänglig elektronisk kommunikation
1:6,250000000,250000000,250000000,22,Ersättning avseende icke statliga flygplatser
99:1,50000000,50000000,50000000,22,Näringslivspott till stöd för järnvägsanslutningar till industrier
1:2,500000000,500000000,500000000,22,Vidmakthållande av statens transportinfrastruktur
99:10,30000000,30000000,30000000,23,Kontrollfunktion livsmedelsbedrägerier
99:6,20000000,20000000,20000000,23,Pilotprojekt för avbytartjänst inom jordbruket
99:5,10000000,10000000,10000000,23,Miljöprövningsdelegation för tillståndsprövningar
99:4,5000000,5000000,5000000,23,Sekretariat för synkronisering av forskning och behov
1:24,50000000,50000000,50000000,23,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning och samfinansierad forskning"
1:23,50000000,50000000,50000000,23,Sveriges Lantbruksuniversitet
1:22,10000000,10000000,10000000,23,Främjande av rennäringen m.m.
99:7,10000000,10000000,10000000,23,Projekt grogrund
99:9,900000000,900000000,900000000,23,Ytterligare Nationell medfinansiering för uppfyllande av Livmedelsstrategin
1:2,50000000,50000000,50000000,23,Insatser för skogsbruket
99:2,10000000,10000000,10000000,23,Växtförädling
99:8,5000000,5000000,5000000,23,Uppföljning biologiska bekämpningsmedels spridning
1:5,22000000,20000000,20000000,23,Djurhälsovård och djurskyddsfrämjande åtgärder
99:3,2000000,14000000,14000000,23,Åkermarksinventering
1:8,48000000,48000000,48000000,23,Statens jordbruksverk
1:8,132000000,132000000,132000000,24,Sveriges geologiska undersökning
1:9,1000000,1000000,1000000,24,Geovetenskaplig forskning
2:2,1000000,1000000,1000000,24,Kommerskollegium
1:4,36000000,36000000,31000000,24,Tillväxtverket
1:1,-72000000,-108000000,-144000000,24,Verket för innovationssystem
1:11,20000000,21000000,15000000,24,Bolagsverket
1:7,100000000,100000000,100000000,24,Turistfrämjande
1:13,5000000,5000000,5000000,24,Konkurrensverket
99:1,100000000,100000000,100000000,24,Starta eget-bidrag för yrkesverksamma
1:6,3000000,4000000,4000000,24,Myndigheten för tillväxtpolitiska utvärderingar och analyser
1:2,-1000000000,-1500000000,-2000000000,24,Verket för innovationssystem: Forskning och utveckling
1:21,11000000,11000000,11000000,24,Patent- och registreringsverket
1:5,110000000,116000000,120000000,24,Näringslivsutveckling
1:12,1000000,1000000,1000000,24,Bidrag till Kungl. Ingenjörsvetenskapsakademien
1:1,3000000000,3000000000,3000000000,25,Kommunalekonomisk utjämning
