Anslag,Namn,2022,2023,2024,Utgiftsområde
1:22,Kompetenslyft för klimatomställningen,-100000000,-100000000,-100000000,20
2:1,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",0,-1000000,-1000000,20
99:1,Viltmyndighet,15000000,40000000,60000000,20
99:2,Biopremie,0,44000000,60000000,20
1:1,Statens energimyndighet,24000000,23000000,23000000,21
1:2,Insatser för energieffektivisering,-100000000,-100000000,-100000000,21
1:4,Energiforskning,70000000,140000000,180000000,21
1:6,Energimarknadsinspektionen,0,-1000000,-1000000,21
1:11,Elsäkerhetsverket,0,0,0,21
1:2,Vidmakthållande av statens transportinfrastruktur,300000000,300000000,300000000,22
1:3,Trafikverket,-2000000,-7000000,-7000000,22
1:9,Statens väg- och transportforskningsinstitut,10000000,10000000,10000000,22
1:12,Transportstyrelsen,-6000000,-15000000,-15000000,22
1:13,Trafikanalys,0,0,0,22
2:1,Post- och telestyrelsen,0,-1000000,-1000000,22
2:5,Driftsäker och tillgänglig elektronisk kommunikation,500000000,900000000,1500000000,22
99:1,Upprustning av kommunal vägbelysning,200000000,200000000,200000000,22
1:1,Skogsstyrelsen,-1000000,-3000000,-3000000,23
1:2,Insatser för skogsbruket,50000000,50000000,50000000,23
1:3,Statens veterinärmedicinska anstalt,0,-1000000,-1000000,23
1:4,Bidrag till veterinär fältverksamhet,0,-1000000,-1000000,23
1:8,Statens jordbruksverk,-1000000,-3000000,-3000000,23
1:14,Livsmedelsverket,0,-1000000,-1000000,23
1:17,Åtgärder för landsbygdens miljö och struktur,930000000,930000000,930000000,23
1:23,Sveriges lantbruksuniversitet,-3000000,-11000000,-11000000,23
1:26,Nedsättning av slakteriavgifter,34000000,34000000,34000000,23
1:1,Verket för innovationssystem,0,-1000000,-1000000,24
1:2,Verket för innovationssystem: Forskning och utveckling,10000000,10000000,10000000,24
1:3,Institutens strategiska kompetensmedel,45000000,160000000,175000000,24
1:4,Tillväxtverket,51000000,47000000,47000000,24
1:5,Näringslivsutveckling,-100000000,-40000000,-65000000,24
1:6,Myndigheten för tillväxtpolitiska utvärderingar och analyser,0,0,0,24
1:7,Turistfrämjande,0,10000000,10000000,24
1:8,Sveriges geologiska undersökning,50000000,49000000,49000000,24
1:13,Konkurrensverket,0,-1000000,-1000000,24
1:21,Patent- och registreringsverket,0,-2000000,-2000000,24
2:1,Styrelsen för ackreditering och teknisk kontroll: Myndighetsverksamhet,0,0,0,24
2:2,Kommerskollegium,0,0,0,24
1:1,Kommunalekonomisk utjämning,379000000,-1257000000,-1165000000,25
